"week","count","type"
"2010-01-03 - 2010-01-09",34,"data science"
"2010-01-10 - 2010-01-16",31,"data science"
"2010-01-17 - 2010-01-23",19,"data science"
"2010-01-24 - 2010-01-30",28,"data science"
"2010-01-31 - 2010-02-06",25,"data science"
"2010-02-07 - 2010-02-13",19,"data science"
"2010-02-14 - 2010-02-20",19,"data science"
"2010-02-21 - 2010-02-27",28,"data science"
"2010-02-28 - 2010-03-06",17,"data science"
"2010-03-07 - 2010-03-13",17,"data science"
"2010-03-14 - 2010-03-20",25,"data science"
"2010-03-21 - 2010-03-27",30,"data science"
"2010-03-28 - 2010-04-03",21,"data science"
"2010-04-04 - 2010-04-10",21,"data science"
"2010-04-11 - 2010-04-17",23,"data science"
"2010-04-18 - 2010-04-24",25,"data science"
"2010-04-25 - 2010-05-01",37,"data science"
"2010-05-02 - 2010-05-08",27,"data science"
"2010-05-09 - 2010-05-15",27,"data science"
"2010-05-16 - 2010-05-22",27,"data science"
"2010-05-23 - 2010-05-29",24,"data science"
"2010-05-30 - 2010-06-05",24,"data science"
"2010-06-06 - 2010-06-12",33,"data science"
"2010-06-13 - 2010-06-19",26,"data science"
"2010-06-20 - 2010-06-26",21,"data science"
"2010-06-27 - 2010-07-03",24,"data science"
"2010-07-04 - 2010-07-10",20,"data science"
"2010-07-11 - 2010-07-17",20,"data science"
"2010-07-18 - 2010-07-24",20,"data science"
"2010-07-25 - 2010-07-31",18,"data science"
"2010-08-01 - 2010-08-07",16,"data science"
"2010-08-08 - 2010-08-14",16,"data science"
"2010-08-15 - 2010-08-21",20,"data science"
"2010-08-22 - 2010-08-28",23,"data science"
"2010-08-29 - 2010-09-04",24,"data science"
"2010-09-05 - 2010-09-11",20,"data science"
"2010-09-12 - 2010-09-18",27,"data science"
"2010-09-19 - 2010-09-25",19,"data science"
"2010-09-26 - 2010-10-02",22,"data science"
"2010-10-03 - 2010-10-09",25,"data science"
"2010-10-10 - 2010-10-16",19,"data science"
"2010-10-17 - 2010-10-23",27,"data science"
"2010-10-24 - 2010-10-30",18,"data science"
"2010-10-31 - 2010-11-06",17,"data science"
"2010-11-07 - 2010-11-13",20,"data science"
"2010-11-14 - 2010-11-20",18,"data science"
"2010-11-21 - 2010-11-27",17,"data science"
"2010-11-28 - 2010-12-04",25,"data science"
"2010-12-05 - 2010-12-11",26,"data science"
"2010-12-12 - 2010-12-18",25,"data science"
"2010-12-19 - 2010-12-25",16,"data science"
"2010-12-26 - 2011-01-01",16,"data science"
"2011-01-02 - 2011-01-08",28,"data science"
"2011-01-09 - 2011-01-15",16,"data science"
"2011-01-16 - 2011-01-22",28,"data science"
"2011-01-23 - 2011-01-29",29,"data science"
"2011-01-30 - 2011-02-05",19,"data science"
"2011-02-06 - 2011-02-12",15,"data science"
"2011-02-13 - 2011-02-19",18,"data science"
"2011-02-20 - 2011-02-26",22,"data science"
"2011-02-27 - 2011-03-05",23,"data science"
"2011-03-06 - 2011-03-12",16,"data science"
"2011-03-13 - 2011-03-19",19,"data science"
"2011-03-20 - 2011-03-26",31,"data science"
"2011-03-27 - 2011-04-02",26,"data science"
"2011-04-03 - 2011-04-09",19,"data science"
"2011-04-10 - 2011-04-16",34,"data science"
"2011-04-17 - 2011-04-23",56,"data science"
"2011-04-24 - 2011-04-30",27,"data science"
"2011-05-01 - 2011-05-07",28,"data science"
"2011-05-08 - 2011-05-14",21,"data science"
"2011-05-15 - 2011-05-21",49,"data science"
"2011-05-22 - 2011-05-28",26,"data science"
"2011-05-29 - 2011-06-04",24,"data science"
"2011-06-05 - 2011-06-11",24,"data science"
"2011-06-12 - 2011-06-18",22,"data science"
"2011-06-19 - 2011-06-25",23,"data science"
"2011-06-26 - 2011-07-02",33,"data science"
"2011-07-03 - 2011-07-09",21,"data science"
"2011-07-10 - 2011-07-16",25,"data science"
"2011-07-17 - 2011-07-23",21,"data science"
"2011-07-24 - 2011-07-30",22,"data science"
"2011-07-31 - 2011-08-06",20,"data science"
"2011-08-07 - 2011-08-13",17,"data science"
"2011-08-14 - 2011-08-20",20,"data science"
"2011-08-21 - 2011-08-27",24,"data science"
"2011-08-28 - 2011-09-03",18,"data science"
"2011-09-04 - 2011-09-10",35,"data science"
"2011-09-11 - 2011-09-17",29,"data science"
"2011-09-18 - 2011-09-24",28,"data science"
"2011-09-25 - 2011-10-01",22,"data science"
"2011-10-02 - 2011-10-08",25,"data science"
"2011-10-09 - 2011-10-15",24,"data science"
"2011-10-16 - 2011-10-22",28,"data science"
"2011-10-23 - 2011-10-29",34,"data science"
