;BOYER;BRUNER;COHEN;DAVIS;DOIG;EVANS;GERMUSKA;GROSKOPF;HAN;HARRIS;HOLOVATY;KEEFE;KLEIN;NG;PILHOFER;RAJA;SCHEINKMAN;STILES;STRAY;WAITE;WILLIS
BOYER;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BRUNER;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COHEN;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
DAVIS;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0
DOIG;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
EVANS;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1
GERMUSKA;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
GROSKOPF;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0
HAN;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
HARRIS;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1
HOLOVATY;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
KEEFE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
KLEIN;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NG;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PILHOFER;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;1
RAJA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
SCHEINKMAN;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1
STILES;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
STRAY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
WAITE;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
WILLIS;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1
